# arctic search: dmax=4 K=2 timeout=300000ms
semiring,dim,K,strict_rule,result,time_ms
AN,1,2,R1,unsat,2
AN,1,2,R2,unsat,1
AN,1,2,R3,unsat,1
AN,1,2,R4,unsat,1
AN,1,2,R5,unsat,1
AN,1,2,R6,unsat,1
AN,1,2,R7,unsat,2
AN,2,2,R1,unsat,100
AN,2,2,R2,unsat,865
AN,2,2,R3,unsat,14
AN,2,2,R4,unsat,867
AN,2,2,R5,unsat,210
AN,2,2,R6,unsat,46
AN,2,2,R7,unsat,175
AN,3,2,R1,unsat,16296
AN,3,2,R2,unknown,299950
AN,3,2,R3,unsat,441
AN,3,2,R4,unknown,300002
AN,3,2,R5,unsat,287719
AN,3,2,R6,unsat,996
AN,3,2,R7,unsat,218841
AN,4,2,R1,unknown,300018
