# arctic search: dmax=6 K=3 timeout=120000ms
semiring,dim,K,strict_rule,result,time_ms
AN,1,3,R1,unsat,1
AN,1,3,R2,unsat,1
AN,1,3,R3,unsat,1
AN,1,3,R4,unsat,1
AN,1,3,R5,unsat,1
AN,1,3,R6,unsat,1
AN,1,3,R7,unsat,1
AN,2,3,R1,unsat,103
AN,2,3,R2,unsat,684
AN,2,3,R3,unsat,37
AN,2,3,R4,unsat,617
AN,2,3,R5,unsat,229
AN,2,3,R6,unsat,38
AN,2,3,R7,unsat,278
AN,3,3,R1,unsat,12640
AN,3,3,R2,unknown,120009
AN,3,3,R3,unsat,957
AN,3,3,R4,unknown,120008
AN,3,3,R5,unknown,119951
AN,3,3,R6,unsat,2181
AN,3,3,R7,unknown,120008
AN,4,3,R1,unknown,120008
AN,4,3,R2,unknown,120013
AN,4,3,R3,unknown,120014
AN,4,3,R4,unknown,120020
AN,4,3,R5,unknown,120014
AN,4,3,R6,unsat,46379
AN,4,3,R7,unknown,120013
AN,5,3,R1,unknown,120033
AN,5,3,R2,unknown,120032
AN,5,3,R3,unknown,120024
AN,5,3,R4,unknown,120026
AN,5,3,R5,unknown,120024
