metric,bin_log2_lo,count,ccdf
tau,0,208327,0.41595855
tau,1,50675,0.27389199
tau,2,39349,0.16357769
tau,3,27770,0.085724939
tau,4,17202,0.037499404
tau,5,9026,0.012195156
tau,6,3570,0.0021867177
tau,7,754,7.2890588e-05
tau,8,26,0
tc,0,250000,0.45710122
tc,1,62502,0.32137219
tc,2,52293,0.20781296
tc,3,39349,0.12236287
tc,4,27049,0.063623393
tc,5,17757,0.025062379
tc,6,9242,0.0049924971
tc,7,2286,2.8230736e-05
tc,8,13,0
h,0,155618,0.688764
h,1,0,0.688764
h,2,0,0.688764
h,3,67633,0.553498
h,4,553,0.552392
h,5,57,0.552278
h,6,50,0.552178
h,7,32953,0.486272
h,8,45,0.486182
h,9,0,0.486182
h,10,21913,0.442356
h,11,98,0.44216
h,12,207,0.441746
h,13,26,0.441694
h,14,13235,0.415224
h,15,693,0.413838
h,16,0,0.413838
h,17,3185,0.407468
h,18,6842,0.393784
h,19,50,0.393684
h,20,4,0.393676
h,21,6058,0.38156
h,22,86,0.381388
h,23,0,0.381388
h,24,0,0.381388
h,25,5034,0.37132
h,26,2,0.371316
h,27,0,0.371316
h,28,3024,0.365268
h,29,263,0.364742
h,30,0,0.364742
h,31,53,0.364636
h,32,3590,0.357456
h,33,8,0.35744
h,34,0,0.35744
h,35,537,0.356366
h,36,2326,0.351714
h,37,22,0.35167
h,38,54,0.351562
h,39,2213,0.347136
h,40,213,0.34671
h,41,275,0.34616
h,42,331,0.345498
h,43,1431,0.342636
h,44,7,0.342622
h,45,50,0.342522
h,46,1038,0.340446
h,47,388,0.33967
h,48,304,0.339062
h,49,78,0.338906
h,50,736,0.337434
h,51,12,0.33741
h,52,8,0.337394
h,53,68,0.337258
h,54,1157,0.334944
h,55,551,0.333842
h,56,0,0.333842
h,57,502,0.332838
h,58,156,0.332526
h,59,1,0.332524
h,60,0,0.332524
h,61,555,0.331414
h,62,177,0.33106
h,63,0,0.33106
h,64,226,0.330608
h,65,141,0.330326
h,66,17,0.330292
h,67,801,0.32869
h,68,867,0.326956
h,69,64,0.326828
h,70,17,0.326794
h,71,226,0.326342
h,72,549,0.325244
h,73,5,0.325234
h,74,13,0.325208
h,75,384,0.32444
h,76,98,0.324244
h,77,0,0.324244
h,78,29,0.324186
h,79,485,0.323216
h,80,8,0.3232
h,81,7,0.323186
h,82,44613,0.23396
h,83,75372,0.083216
h,84,2726,0.077764
h,85,236,0.077292
h,86,31894,0.013504
h,87,3539,0.006426
h,88,167,0.006092
h,89,109,0.005874
h,90,2648,0.000578
h,91,62,0.000454
h,92,1,0.000452
h,93,157,0.000138
h,94,58,2.2e-05
h,95,3,1.6e-05
h,96,0,1.6e-05
h,97,8,0
