metric,bin_log2_lo,count,ccdf
tc,0,250000,0.46446512
tc,1,62500,0.3305814
tc,2,50782,0.22179927
tc,3,38522,0.13927977
tc,4,28161,0.078954979
tc,5,20539,0.034957575
tc,6,14497,0.0039029782
tc,7,1822,0
h,0,1,0.999998
h,1,0,0.999998
h,2,0,0.999998
h,3,0,0.999998
h,4,0,0.999998
h,5,0,0.999998
h,6,0,0.999998
h,7,0,0.999998
h,8,0,0.999998
h,9,0,0.999998
h,10,0,0.999998
h,11,0,0.999998
h,12,0,0.999998
h,13,0,0.999998
h,14,0,0.999998
h,15,0,0.999998
h,16,0,0.999998
h,17,0,0.999998
h,18,0,0.999998
h,19,0,0.999998
h,20,0,0.999998
h,21,0,0.999998
h,22,0,0.999998
h,23,0,0.999998
h,24,0,0.999998
h,25,0,0.999998
h,26,0,0.999998
h,27,0,0.999998
h,28,0,0.999998
h,29,0,0.999998
h,30,0,0.999998
h,31,0,0.999998
h,32,0,0.999998
h,33,0,0.999998
h,34,0,0.999998
h,35,0,0.999998
h,36,0,0.999998
h,37,0,0.999998
h,38,0,0.999998
h,39,0,0.999998
h,40,0,0.999998
h,41,0,0.999998
h,42,0,0.999998
h,43,0,0.999998
h,44,0,0.999998
h,45,0,0.999998
h,46,0,0.999998
h,47,0,0.999998
h,48,0,0.999998
h,49,0,0.999998
h,50,0,0.999998
h,51,0,0.999998
h,52,0,0.999998
h,53,0,0.999998
h,54,0,0.999998
h,55,0,0.999998
h,56,0,0.999998
h,57,0,0.999998
h,58,0,0.999998
h,59,0,0.999998
h,60,0,0.999998
h,61,0,0.999998
h,62,0,0.999998
h,63,0,0.999998
h,64,0,0.999998
h,65,0,0.999998
h,66,0,0.999998
h,67,0,0.999998
h,68,0,0.999998
h,69,0,0.999998
h,70,0,0.999998
h,71,0,0.999998
h,72,0,0.999998
h,73,0,0.999998
h,74,0,0.999998
h,75,0,0.999998
h,76,0,0.999998
h,77,0,0.999998
h,78,0,0.999998
h,79,0,0.999998
h,80,0,0.999998
h,81,218017,0.563964
h,82,93994,0.375976
h,83,104438,0.1671
h,84,46417,0.074266
h,85,20630,0.033006
h,86,5501,0.022004
h,87,6113,0.009778
h,88,2717,0.004344
h,89,724,0.002896
h,90,805,0.001286
h,91,358,0.00057
h,92,96,0.000378
h,93,105,0.000168
h,94,47,7.4e-05
h,95,21,3.2e-05
h,96,7,1.8e-05
h,97,5,8e-06
h,98,3,2e-06
h,99,1,0
