p,sg,sg_exp,rel,logp,k,k_over_logp,m,linf_ratio,l2,support,support_over_p
6553,117,0.542,1.786e-02,8.788,24,2.73,12,1.3522,7.374e-07,6553,1.0000
6553,117,0.542,1.786e-02,8.788,36,4.10,18,1.0138,9.053e-10,6553,1.0000
6553,117,0.542,1.786e-02,8.788,48,5.46,24,1.0004,2.543e-12,6553,1.0000
6553,117,0.542,1.786e-02,8.788,60,6.83,30,1.0000,4.988e-15,6553,1.0000
6563,386,0.678,5.882e-02,8.789,24,2.73,12,1.1480,2.805e-07,6563,1.0000
6563,386,0.678,5.882e-02,8.789,36,4.10,18,1.0028,1.307e-10,6563,1.0000
6563,386,0.678,5.882e-02,8.789,48,5.46,24,1.0001,4.490e-14,6563,1.0000
6563,386,0.678,5.882e-02,8.789,60,6.83,30,1.0000,1.147e-17,6563,1.0000
4057,338,0.701,8.333e-02,8.308,24,2.89,12,1.1297,3.483e-07,4057,1.0000
4057,338,0.701,8.333e-02,8.308,36,4.33,18,1.0026,1.355e-10,4057,1.0000
4057,338,0.701,8.333e-02,8.308,48,5.78,24,1.0001,6.359e-14,4057,1.0000
4057,338,0.701,8.333e-02,8.308,60,7.22,30,1.0000,4.239e-17,4057,1.0000
4513,376,0.705,8.333e-02,8.415,24,2.85,12,1.0931,1.684e-07,4513,1.0000
4513,376,0.705,8.333e-02,8.415,36,4.28,18,1.0015,2.678e-11,4513,1.0000
4513,376,0.705,8.333e-02,8.415,48,5.70,24,1.0000,4.564e-15,4513,1.0000
4513,376,0.705,8.333e-02,8.415,60,7.13,30,1.0000,5.421e-19,4513,1.0000
431,43,0.620,1.000e-01,6.066,24,3.96,12,1.0472,1.268e-06,431,1.0000
431,43,0.620,1.000e-01,6.066,36,5.93,18,1.0018,1.207e-09,431,1.0000
431,43,0.620,1.000e-01,6.066,48,7.91,24,1.0001,1.451e-12,431,1.0000
431,43,0.620,1.000e-01,6.066,60,9.89,30,1.0000,3.104e-15,431,1.0000
601,75,0.675,1.250e-01,6.399,24,3.75,12,1.0337,1.971e-07,601,1.0000
601,75,0.675,1.250e-01,6.399,36,5.63,18,1.0008,1.031e-10,601,1.0000
601,75,0.675,1.250e-01,6.399,48,7.50,24,1.0000,2.156e-14,601,1.0000
601,75,0.675,1.250e-01,6.399,60,9.38,30,1.0000,3.686e-18,601,1.0000
577,144,0.782,2.500e-01,6.358,24,3.77,12,1.0391,3.354e-07,577,1.0000
577,144,0.782,2.500e-01,6.358,36,5.66,18,1.0008,1.370e-10,577,1.0000
577,144,0.782,2.500e-01,6.358,48,7.55,24,1.0000,4.010e-14,577,1.0000
577,144,0.782,2.500e-01,6.358,60,9.44,30,1.0000,1.496e-17,577,1.0000
937,234,0.797,2.500e-01,6.843,24,3.51,12,1.0548,2.450e-07,937,1.0000
937,234,0.797,2.500e-01,6.843,36,5.26,18,1.0011,6.076e-11,937,1.0000
937,234,0.797,2.500e-01,6.843,48,7.01,24,1.0000,1.119e-14,937,1.0000
937,234,0.797,2.500e-01,6.843,60,8.77,30,1.0000,2.819e-18,937,1.0000
1201,300,0.804,2.500e-01,7.091,24,3.38,12,1.1054,6.395e-07,1201,1.0000
1201,300,0.804,2.500e-01,7.091,36,5.08,18,1.0022,5.383e-10,1201,1.0000
1201,300,0.804,2.500e-01,7.091,48,6.77,24,1.0001,3.696e-13,1201,1.0000
1201,300,0.804,2.500e-01,7.091,60,8.46,30,1.0000,2.342e-16,1201,1.0000
307,102,0.808,3.333e-01,5.727,24,4.19,12,1.0377,1.853e-07,307,1.0000
307,102,0.808,3.333e-01,5.727,36,6.29,18,1.0007,8.477e-11,307,1.0000
307,102,0.808,3.333e-01,5.727,48,8.38,24,1.0000,3.164e-14,307,1.0000
307,102,0.808,3.333e-01,5.727,60,10.48,30,1.0000,1.865e-17,307,1.0000
439,146,0.819,3.333e-01,6.084,24,3.94,12,1.0323,4.078e-07,439,1.0000
439,146,0.819,3.333e-01,6.084,36,5.92,18,1.0012,1.832e-10,439,1.0000
439,146,0.819,3.333e-01,6.084,48,7.89,24,1.0000,4.687e-14,439,1.0000
439,146,0.819,3.333e-01,6.084,60,9.86,30,1.0000,9.107e-18,439,1.0000
499,166,0.823,3.333e-01,6.213,24,3.86,12,1.0612,5.982e-07,499,1.0000
499,166,0.823,3.333e-01,6.213,36,5.79,18,1.0013,4.501e-10,499,1.0000
499,166,0.823,3.333e-01,6.213,48,7.73,24,1.0000,1.764e-13,499,1.0000
499,166,0.823,3.333e-01,6.213,60,9.66,30,1.0000,6.809e-17,499,1.0000
643,214,0.830,3.333e-01,6.466,24,3.71,12,1.0329,1.439e-07,643,1.0000
643,214,0.830,3.333e-01,6.466,36,5.57,18,1.0005,1.918e-11,643,1.0000
643,214,0.830,3.333e-01,6.466,48,7.42,24,1.0000,2.616e-15,643,1.0000
643,214,0.830,3.333e-01,6.466,60,9.28,30,1.0000,2.168e-19,643,1.0000
727,242,0.833,3.333e-01,6.589,24,3.64,12,1.0348,1.618e-07,727,1.0000
727,242,0.833,3.333e-01,6.589,36,5.46,18,1.0005,4.188e-11,727,1.0000
727,242,0.833,3.333e-01,6.589,48,7.28,24,1.0000,8.685e-15,727,1.0000
727,242,0.833,3.333e-01,6.589,60,9.11,30,1.0000,1.952e-18,727,1.0000
