d	a0	b0	a1	b1	a2	b2	drift	drift_flag	n_cycles	cycle_mins	frac_c1	frac_c2	frac_c3	frac_c4	frac_overflow	frac_cap	fate_H	rigidity_min_H	rigidity_argmin_m	max_exc_log2	mean_steps	name
2	1	0	4	1	-	-	0.000000	0	1	1	0.000170	0.000000	0.000000	0.000000	0.999830	0.000000	0.000341	0.000238	36	101.000	43.15	-
2	1	0	4	2	-	-	0.000000	0	32	1;3;5;7	0.000170	0.000160	0.000150	0.000140	0.000000	0.000000	0.010913	0.007604	36	17.610	2.00	-
2	1	0	4	3	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	0	4	4	-	-	0.000000	0	1	1	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	17.610	2.00	-
2	1	0	4	5	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	0	4	6	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	2	18.195	25000.50	-
2	1	0	4	7	-	-	0.000000	0	0	-	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	1	4	1	-	-	0.000000	0	2	1;2	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.15	-
2	1	1	4	2	-	-	0.000000	0	2	3;2	0.999980	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2	17.610	2.00	-
2	1	1	4	3	-	-	0.000000	0	1	2	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	1	4	4	-	-	0.000000	0	1	2	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.195	25000.50	-
2	1	1	4	5	-	-	0.000000	0	1	2	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	1	4	6	-	-	0.000000	0	3	3;5;2	0.666670	0.333320	0.000010	0.000000	0.000000	0.000000	0.918283	0.000000	3	17.610	2.00	-
2	1	1	4	7	-	-	0.000000	0	1	2	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	2	4	1	-	-	0.000000	0	2	1;4	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	2	4	2	-	-	0.000000	0	1	4	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.195	25001.00	-
2	1	2	4	3	-	-	0.000000	0	1	4	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	2	4	4	-	-	0.000000	0	3	5;7;4	0.666660	0.333320	0.000020	0.000000	0.000000	0.000000	0.918303	0.000000	3	17.610	2.00	-
2	1	2	4	5	-	-	0.000000	0	1	4	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	2	4	6	-	-	0.000000	0	1	4	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25001.00	-
2	1	2	4	7	-	-	0.000000	0	1	4	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	3	4	1	-	-	0.000000	0	2	1;6	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	3	4	2	-	-	0.000000	0	3	7;9;6	0.666670	0.333310	0.000020	0.000000	0.000000	0.000000	0.918303	0.000000	3	17.610	2.00	-
2	1	3	4	3	-	-	0.000000	0	1	6	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	3	4	4	-	-	0.000000	0	1	6	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25001.50	-
2	1	3	4	5	-	-	0.000000	0	1	6	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	3	4	6	-	-	0.000000	0	3	7;11;6	0.800000	0.199980	0.000020	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	1	3	4	7	-	-	0.000000	0	1	6	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	4	4	1	-	-	0.000000	0	2	1;8	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	4	4	2	-	-	0.000000	0	1	8	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.610	25002.00	-
2	1	4	4	3	-	-	0.000000	0	1	8	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	4	4	4	-	-	0.000000	0	3	9;13;8	0.800000	0.199980	0.000020	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	1	4	4	5	-	-	0.000000	0	1	8	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	4	4	6	-	-	0.000000	0	1	8	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25002.00	-
2	1	4	4	7	-	-	0.000000	0	1	8	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	1	-	-	0.000000	0	2	1;10	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	2	-	-	0.000000	0	3	11;15;10	0.800000	0.199980	0.000020	0.000000	0.000000	0.000000	0.721928	0.721928	36	17.610	2.00	-
2	1	5	4	3	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	4	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25002.50	-
2	1	5	4	5	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	5	4	6	-	-	0.000000	0	4	13;11;17;10	0.428570	0.428570	0.142840	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
2	1	5	4	7	-	-	0.000000	0	1	10	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	1	-	-	0.000000	0	2	1;12	0.000010	0.000010	0.000000	0.000000	0.999980	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	2	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	2	18.932	25003.00	-
2	1	6	4	3	-	-	0.000000	0	1	12	0.000010	0.000000	0.000000	0.000000	0.999990	0.000000	0.000000	0.000000	2	101.000	43.16	-
2	1	6	4	4	-	-	0.000000	0	4	15;13;19;12	0.428580	0.428560	0.142840	0.000020	0.000000	0.000000	1.448820	1.448819	36	17.610	2.00	-
