k,t,haar_frac,count,mass_frac
12,0.05,7.650426e-01,45175,8.139377e-01
12,0.1,3.880506e-01,22914,4.957690e-01
12,0.2,5.629223e-02,3324,1.263951e-01
12,0.3,4.724889e-03,279,2.247208e-02
12,0.4,6.774035e-05,4,7.408943e-04
13,0.05,7.249064e-01,128415,7.842041e-01
13,0.1,3.223029e-01,57095,4.372668e-01
13,0.2,3.905231e-02,6918,9.748923e-02
13,0.3,2.895900e-03,513,1.517023e-02
13,0.4,2.822515e-05,5,5.312336e-04
14,0.05,6.742423e-01,358320,7.459530e-01
14,0.1,2.608926e-01,138649,3.767075e-01
14,0.2,2.752893e-02,14630,7.583110e-02
14,0.3,2.003985e-03,1065,1.196851e-02
14,0.4,7.526706e-06,4,1.901690e-04
15,0.05,6.164999e-01,982900,7.019296e-01
15,0.1,2.060342e-01,328485,3.205161e-01
15,0.2,1.988493e-02,31703,5.971673e-02
15,0.3,1.398086e-03,2229,8.910843e-03
15,0.4,2.508902e-06,4,8.887174e-05
16,0.05,5.566841e-01,2662603,6.552222e-01
16,0.1,1.626046e-01,777733,2.719103e-01
16,0.2,1.449685e-02,69338,4.709807e-02
16,0.3,1.018405e-03,4871,6.982717e-03
16,0.4,1.672601e-06,8,6.922453e-05
17,0.05,4.972021e-01,7134306,6.069183e-01
17,0.1,1.284947e-01,1843759,2.305883e-01
17,0.2,1.082577e-02,155338,3.790011e-02
17,0.3,7.283482e-04,10451,5.454289e-03
17,0.4,5.575338e-07,8,3.532577e-05
18,0.05,4.386138e-01,18880888,5.579377e-01
18,0.1,1.015266e-01,4370386,1.951404e-01
18,0.2,8.166545e-03,351543,3.062160e-02
18,0.3,5.631091e-04,24240,4.390867e-03
18,0.4,2.090752e-07,9,1.771582e-05
19,0.05,3.824316e-01,49387280,5.085487e-01
19,0.1,8.022632e-02,10360440,1.649433e-01
19,0.2,6.213357e-03,802394,2.481667e-02
19,0.3,4.269547e-04,55137,3.612393e-03
19,0.4,6.969172e-08,9,8.083080e-06
