threshold,k,parent_depth,child_depth,parent_bin,parent_bin_mass,first_parent_depth,weights,parent_bin_weight_num,parent_bin_weight_den,parent_bin_weight_decimal,weighted_high_child_mass_num,weighted_high_child_mass_den,weighted_high_child_mass_decimal,weighted_parent_mass_num,weighted_parent_mass_den,weighted_parent_mass_decimal,ratio_num,ratio_den,ratio_decimal,rho_num,rho_den,rho_decimal,rho_minus_ratio_num,rho_minus_ratio_den,rho_minus_ratio_decimal,selection_scope,source,source_sha256,source_sha256_verified
1/5,12,3,4,4,157567477645971955,3,31/25;69/50;1;34/25,31,25,1.24,4772997859503708814,25,1.9091991438e+17,976918361405026121,5,1.95383672281e+17,4772997859503708814,4884591807025130605,0.97715388472,68,69,0.985507246377,2815390571952972974,337036834684734011745,0.0083533616573,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,3,4,7,1216392934876534786,3,31/25;69/50;1;34/25,34,25,1.36,37170802798831349179,25,1.48683211195e+18,41357359785802182724,25,1.65429439143e+18,5310114685547335597,5908194255114597532,0.898771173773,68,69,0.985507246377,35359296045026475983,407665403602907229708,0.086736072604,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,4,5,4,162231051166674641,3,31/25;69/50;1;34/25,31,25,1.24,8718675203005785963,50,1.7437350406e+17,5029162586166913871,25,2.01166503447e+17,8718675203005785963,10058325172333827742,0.866811825391,68,69,0.985507246377,82377522711301055009,694024436891034114198,0.118695420986,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,4,5,6,72705100143790174,3,31/25;69/50;1;34/25,1,1,1,1281030523173310978,25,5.12412209269e+16,72705100143790174,1,7.27051001438e+16,640515261586655489,908813751797377175,0.704781656659,68,69,0.985507246377,17603782072742419159,62708148874019025075,0.280725589717,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,4,5,7,1032265016722746758,3,31/25;69/50;1;34/25,34,25,1.36,28910177927334837774,25,1.15640711709e+18,35097010568573389772,25,1.40388042274e+18,14455088963667418887,17548505284286694886,0.823721948365,68,69,0.985507246377,195897220838443349045,1210846864615781947134,0.161785298012,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,5,6,4,102973733273540052,3,31/25;69/50;1;34/25,31,25,1.24,1042904316838156441,10,1.04290431684e+17,3192185731479741612,25,1.27687429259e+17,5214521584190782205,6384371462959483224,0.816763500439,68,69,0.985507246377,24778423390693629029,146840543648068114152,0.168743745938,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,5,6,5,77244617969877710,3,31/25;69/50;1;34/25,69,50,1.38,158738089798974671,5,3.17476179598e+16,532987863992156199,5,1.06597572798e+17,158738089798974671,532987863992156199,0.2978268372,68,69,0.985507246377,366525312396193757,532987863992156199,0.687680409176,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,5,6,6,122510998963390119,3,31/25;69/50;1;34/25,1,1,1,2355195324839138187,25,9.42078129936e+16,122510998963390119,1,1.22510998963e+17,785065108279712729,1020924991361584325,0.768974327127,68,69,0.985507246377,15253406941287555799,70443824403949318425,0.21653291925,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,5,6,7,827985985541543653,3,31/25;69/50;1;34/25,34,25,1.36,21709734684363522976,25,8.68389387375e+17,28151523508412484202,25,1.12606094034e+18,10854867342181761488,14075761754206242101,0.771174415405,68,69,0.985507246377,208165952675482920196,971227561040230704969,0.214332830972,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,6,7,4,94524532675041150,3,31/25;69/50;1;34/25,31,25,1.24,3604378491863607079,50,7.20875698373e+16,117210420517051026,1,1.17210420517e+17,3604378491863607079,5860521025852551300,0.615026970463,68,69,0.985507246377,49937771273128199983,134791983594608679900,0.370480275914,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
