threshold,k,parent_depth,child_depth,terminal_offset,first_parent_depth,weights,rho_num,rho_den,rho_decimal,parent_tail_num,parent_tail_den,parent_tail_decimal,child_tail_num,child_tail_den,child_tail_decimal,parent_potential_num,parent_potential_den,parent_potential_decimal,persistent_potential_num,persistent_potential_den,persistent_potential_decimal,immigration_potential_num,immigration_potential_den,immigration_potential_decimal,child_potential_num,child_potential_den,child_potential_decimal,realized_retention_num,realized_retention_den,realized_retention_decimal,total_mass,selection_scope,source,source_sha256,source_sha256_verified
1/5,12,3,4,7,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,1267201168033211573,1373960412522506741,0.922298165568,46241951592827313329,34349010313062668525,1.34623825174,41943800658335057993,34349010313062668525,1.2211065261,0,1,0,41943800658335057993,34349010313062668525,1.2211065261,41943800658335057993,46241951592827313329,0.907050831843,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,4,5,6,3,31/25;69/50;1;34/25,68,69,0.985507246377,1267201168033211573,1373960412522506741,0.922298165568,1130715335748351534,1373960412522506741,0.822960636597,41943800658335057993,34349010313062668525,1.2211065261,69101092104022083467,68698020626125337050,1.00586729391,5041754963853436101,68698020626125337050,0.0733901052447,37071423533937759784,34349010313062668525,1.07925739915,69101092104022083467,83887601316670115986,0.823734270851,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,5,6,5,3,31/25;69/50;1;34/25,68,69,0.985507246377,1130715335748351534,1373960412522506741,0.822960636597,989948522703811686,1373960412522506741,0.720507311332,37071423533937759784,34349010313062668525,1.07925739915,54931762500585851241,68698020626125337050,0.799612012106,8716024948043309403,68698020626125337050,0.12687446987,31823893724314580322,34349010313062668525,0.926486481976,54931762500585851241,74142847067875519568,0.740890924384,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,6,7,4,3,31/25;69/50;1;34/25,68,69,0.985507246377,989948522703811686,1373960412522506741,0.720507311332,886587732800185973,1373960412522506741,0.645278950339,31823893724314580322,34349010313062668525,0.926486481976,4337929039486480543,6869802062612533705,0.631448912203,5866586865075071786,34349010313062668525,0.170793475899,27556232062507474501,34349010313062668525,0.802242388102,3098520742490343245,4546270532044940046,0.681552213105,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,7,8,3,3,31/25;69/50;1;34/25,68,69,0.985507246377,886587732800185973,1373960412522506741,0.645278950339,762208677728711898,1373960412522506741,0.554753012373,27556232062507474501,34349010313062668525,0.802242388102,35136863593814856569,68698020626125337050,0.51146835489,11323435473373776501,68698020626125337050,0.164829137291,4646029906718863307,6869802062612533705,0.67629749218,35136863593814856569,55112464125014949002,0.637548404915,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,8,9,2,3,31/25;69/50;1;34/25,68,69,0.985507246377,762208677728711898,1373960412522506741,0.554753012373,582354601378232342,1373960412522506741,0.423851077564,4646029906718863307,6869802062612533705,0.67629749218,5393686007252407573,13739604125225067410,0.392564877277,4318612273533645143,34349010313062668525,0.125727414973,35605654583329328151,68698020626125337050,0.51829229225,5393686007252407573,9292059813437726614,0.580461826069,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,9,10,1,3,31/25;69/50;1;34/25,68,69,0.985507246377,582354601378232342,1373960412522506741,0.423851077564,353987721218126047,1373960412522506741,0.257640407971,35605654583329328151,68698020626125337050,0.51829229225,17050826621925789797,68698020626125337050,0.248199678339,4531339064778688563,68698020626125337050,0.0659602565471,2158216568670447836,6869802062612533705,0.314159934886,17050826621925789797,35605654583329328151,0.478879740352,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,12,10,11,0,3,31/25;69/50;1;34/25,68,69,0.985507246377,353987721218126047,1373960412522506741,0.257640407971,173661711332393277,1373960412522506741,0.126394989077,2158216568670447836,6869802062612533705,0.314159934886,4009546592674065301,34349010313062668525,0.116729610435,271006114935476098,6869802062612533705,0.0394488971393,5364577167351445791,34349010313062668525,0.156178507574,4009546592674065301,10791082843352239180,0.371561098258,1373960412522506741,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,3,4,8,3,31/25;69/50;1;34/25,68,69,0.985507246377,1,1,1,4318948500253380147,4475321486922343160,0.965058826025,75321896230859657293,55941518586529289500,1.34643996327,71312002649755929027,55941518586529289500,1.27475986444,0,1,0,71312002649755929027,55941518586529289500,1.27475986444,71312002649755929027,75321896230859657293,0.946763241743,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
1/5,13,4,5,7,3,31/25;69/50;1;34/25,68,69,0.985507246377,4318948500253380147,4475321486922343160,0.965058826025,1946900432806611727,2237660743461171580,0.87006059274,71312002649755929027,55941518586529289500,1.27475986444,244745727145857358773,223766074346117158000,1.09375707583,4714425406504559297,111883037173058579000,0.0421370882095,254174577958866477367,223766074346117158000,1.13589416404,81581909048619119591,95082670199674572036,0.858010285968,4475321486922343160,post_hoc_k12_19,multiscale_transitions_exact.csv,ea02b6b4b87b89a3938e4c8814c109d561d82535ab4bbd2afbef2691fd088161,True
