k,center,j,count,mass_frac,mean_osc,mw_mean_osc,p_osc_gt_02,mass_osc_gt_02,max_osc
15,minus1,1,1062882,5.087622e-01,6.878810e-02,8.256485e-02,1.767270e-02,2.462437e-02,3.812218e-01
15,minus1,2,354294,2.599054e-01,7.112241e-02,8.599923e-02,1.942172e-02,1.379958e-02,3.779903e-01
15,minus1,3,118098,1.240148e-01,7.718196e-02,9.296575e-02,2.642720e-02,8.343853e-03,3.654996e-01
15,minus1,4,39366,5.804170e-02,8.526235e-02,1.020830e-01,3.731647e-02,5.057479e-03,3.636654e-01
15,minus1,5,13122,2.689723e-02,9.420302e-02,1.118526e-01,5.486968e-02,3.136110e-03,3.753388e-01
15,minus1,6,4374,1.230596e-02,1.049952e-01,1.235117e-01,8.321902e-02,1.939985e-03,3.843376e-01
15,minus1,7,1458,5.579353e-03,1.163196e-01,1.365775e-01,1.310014e-01,1.202746e-03,3.768008e-01
15,minus1,8,486,2.509875e-03,1.348913e-01,1.558377e-01,2.098765e-01,7.758149e-04,3.836558e-01
15,minus1,9,162,1.117756e-03,1.451246e-01,1.702520e-01,2.407407e-01,3.850439e-04,3.974424e-01
15,minus1,10,54,4.940276e-04,1.672685e-01,1.895630e-01,3.148148e-01,2.004021e-04,3.638147e-01
15,inv4_n1,1,1062882,6.070539e-01,7.168808e-02,9.132544e-02,2.099104e-02,4.069785e-02,5.942879e-01
15,inv4_n1,2,354294,2.031787e-01,6.654061e-02,7.798481e-02,1.516819e-02,7.985943e-03,3.752744e-01
15,inv4_n1,3,118098,1.011036e-01,6.981988e-02,8.091874e-02,1.804434e-02,4.424267e-03,3.626412e-01
15,inv4_n1,4,39366,4.780573e-02,7.620142e-02,8.751419e-02,2.491998e-02,2.620279e-03,3.556914e-01
15,inv4_n1,5,13122,2.223390e-02,8.355293e-02,9.509336e-02,3.436976e-02,1.550413e-03,3.652166e-01
15,inv4_n1,6,4374,1.022640e-02,9.175016e-02,1.036261e-01,5.029721e-02,9.358944e-04,3.701798e-01
15,inv4_n1,7,1458,4.647587e-03,1.023223e-01,1.143514e-01,7.475995e-02,5.643189e-04,3.590032e-01
15,inv4_n1,8,486,2.093667e-03,1.155027e-01,1.279984e-01,1.440329e-01,4.158531e-04,3.442615e-01
15,inv4_n1,9,162,9.328543e-04,1.288547e-01,1.426985e-01,1.913580e-01,2.405091e-04,3.539857e-01
15,inv4_n1,10,54,4.128385e-04,1.401084e-01,1.544546e-01,2.592593e-01,1.380631e-04,3.182842e-01
15,inv4_n2,1,1062882,8.841839e-01,7.168808e-02,8.857960e-02,2.099104e-02,5.411110e-02,5.942879e-01
15,inv4_n2,2,354294,5.988445e-02,6.654061e-02,7.798481e-02,1.516819e-02,2.353759e-03,3.752744e-01
15,inv4_n2,3,118098,2.979906e-02,6.981988e-02,8.091874e-02,1.804434e-02,1.303999e-03,3.626412e-01
15,inv4_n2,4,39366,1.409015e-02,7.620142e-02,8.751419e-02,2.491998e-02,7.722951e-04,3.556914e-01
15,inv4_n2,5,13122,6.553169e-03,8.355293e-02,9.509336e-02,3.436976e-02,4.569654e-04,3.652166e-01
15,inv4_n2,6,4374,3.014107e-03,9.175016e-02,1.036261e-01,5.029721e-02,2.758434e-04,3.701797e-01
15,inv4_n2,7,1458,1.369819e-03,1.023223e-01,1.143514e-01,7.475995e-02,1.663261e-04,3.590033e-01
15,inv4_n2,8,486,6.170827e-04,1.155027e-01,1.279984e-01,1.440329e-01,1.225676e-04,3.442615e-01
15,inv4_n2,9,162,2.749474e-04,1.288547e-01,1.426985e-01,1.913580e-01,7.088713e-05,3.539857e-01
15,inv4_n2,10,54,1.216791e-04,1.401084e-01,1.544546e-01,2.592593e-01,4.069241e-05,3.182842e-01
15,inv4_n3,1,1062882,5.087622e-01,6.878810e-02,8.256485e-02,1.767270e-02,2.462437e-02,3.812218e-01
15,inv4_n3,2,354294,4.216784e-01,7.811843e-02,9.576739e-02,2.848482e-02,3.227242e-02,5.942879e-01
15,inv4_n3,3,118098,4.586956e-02,6.795853e-02,8.068995e-02,1.650324e-02,2.024430e-03,3.755947e-01
15,inv4_n3,4,39366,1.660024e-02,6.809212e-02,7.751317e-02,1.630849e-02,6.125010e-04,3.578103e-01
15,inv4_n3,5,13122,4.158992e-03,6.025679e-02,6.516331e-02,8.078037e-03,6.452728e-05,3.069056e-01
15,inv4_n3,6,4374,1.795294e-03,6.639627e-02,7.369399e-02,1.417467e-02,5.012923e-05,3.003637e-01
15,inv4_n3,7,1458,6.463371e-04,7.305677e-02,7.987670e-02,1.851852e-02,2.191863e-05,3.203521e-01
15,inv4_n3,8,486,2.947858e-04,8.639986e-02,9.323047e-02,3.292181e-02,1.585489e-05,2.844693e-01
15,inv4_n3,9,162,1.118452e-04,1.006461e-01,1.098060e-01,7.407407e-02,1.247244e-05,3.077713e-01
15,inv4_n3,10,54,4.904022e-05,1.088457e-01,1.187240e-01,9.259259e-02,6.385325e-06,2.903919e-01
16,minus1,1,3188646,5.065640e-01,6.266021e-02,7.596556e-02,1.300991e-02,1.946790e-02,3.823297e-01
16,minus1,2,1062882,2.597856e-01,6.468356e-02,7.897448e-02,1.421418e-02,1.094818e-02,3.803998e-01
16,minus1,3,354294,1.245808e-01,6.999658e-02,8.515392e-02,1.882617e-02,6.513883e-03,3.795184e-01
16,minus1,4,118098,5.864180e-02,7.708796e-02,9.320721e-02,2.626632e-02,3.958146e-03,3.796925e-01
16,minus1,5,39366,2.734924e-02,8.504385e-02,1.019557e-01,3.795153e-02,2.429401e-03,3.737057e-01
16,minus1,6,13122,1.260222e-02,9.450473e-02,1.123858e-01,5.608901e-02,1.493754e-03,4.034639e-01
16,minus1,7,4374,5.758186e-03,1.055449e-01,1.244080e-01,8.504801e-02,9.392307e-04,3.847154e-01
