k,nu,u,c_over_c1,transport_frac,branch_frac,slack,argmin_lift,argmin_offset
15,1,0,1.0,0.0015127265929310552,0.9984874406157835,1.6720871465203402e-07,0,0
15,1,1,0.6984937922930098,0.002030790999083365,0.9979694426655213,2.336646047762514e-07,2,8
15,1,2,1.2906264241038432,0.001151172314148049,0.9988490336094161,2.0592356420046087e-07,1,7
15,2,1,0.9895669708774418,0.0017119379892723842,0.9982882220446736,1.60033946094984e-07,1,11
15,2,2,0.641196213446123,0.0024553328268478287,0.9975448405637555,1.733906032086452e-07,0,4
15,2,4,0.9018210133193827,0.0019822596861552395,0.9980179032311421,1.629172972084092e-07,0,8
15,2,5,0.5900612038217448,0.0026471173190386345,0.9973530757474018,1.9306644039041032e-07,1,19
15,2,7,1.379698312333678,0.00121063667864583,0.99878957981552,2.1649416570568292e-07,2,5
15,2,8,0.48764046715359444,0.0033000480077357837,0.9967000982604349,1.4626817068652542e-07,2,7
15,3,1,0.454159196083059,0.003685180053222729,0.9963149737154552,1.5376867801286664e-07,1,29
15,3,2,1.0913379294490981,0.0018121866154438017,0.9981879607456816,1.4736112530222556e-07,2,58
15,3,4,0.4474487714491785,0.0032889440756639554,0.9967112891094684,2.3318513231451732e-07,0,8
15,3,5,1.3696850229783495,0.0013899239658624258,0.9986102758749855,1.9984084786983658e-07,0,10
15,3,7,0.35701108136166043,0.004274264400053979,0.9957259174665283,1.8186658223839913e-07,2,68
15,3,8,0.6296201622272668,0.002825857131271553,0.9971743325089151,1.8964018666522975e-07,1,43
15,3,10,0.41168584658184326,0.003939064503247478,0.9960611307488823,1.9525212979765172e-07,0,20
15,3,11,0.6910684764708073,0.0028982883243660485,0.9971019002410206,1.885653866384729e-07,2,76
15,3,13,0.5819936264206554,0.0027071959989708,0.9972930133461925,2.093451632045884e-07,2,80
15,3,14,0.9855938438499201,0.002329640110982489,0.9976704850301847,1.2514116720652169e-07,2,1
15,3,16,0.40736960952826456,0.0037251991087415576,0.9962750115418786,2.1065062028036152e-07,2,5
15,3,17,0.6683448960926031,0.0024562299796380294,0.9975439555766421,1.855562801189592e-07,0,34
15,3,19,0.5143371088260343,0.0031503599814948,0.9968498354805735,1.9546206830867163e-07,0,38
15,3,20,0.8010442818595215,0.0022870915912533915,0.9977130861530575,1.7774431082528963e-07,0,40
15,3,22,0.45653096569446416,0.0033163655784961203,0.996683813928913,1.795074093813298e-07,2,17
15,3,23,0.9640023222701435,0.0020529393288250346,0.9979472232517242,1.625805492455612e-07,1,73
15,3,25,0.34000412340475494,0.004646560960468023,0.9953536228679273,1.8382839539476947e-07,2,23
15,3,26,0.7005867348341125,0.002495268229559377,0.9975048628120029,1.3104156226795283e-07,0,52
15,4,1,0.7624129483939512,0.0023390522858322744,0.9976610928327454,1.4511857759913482e-07,2,164
15,4,2,0.34899314557268757,0.003970648477864857,0.9960295581118641,2.0658972887943605e-07,0,4
15,4,4,0.9586244675792023,0.0019824484579587932,0.9980177724814325,2.2093939144873787e-07,0,8
15,4,5,0.31206517106350795,0.004347293492318011,0.9956529078085002,2.0130081823666046e-07,1,91
15,4,7,0.46639364220018786,0.0036412906312694037,0.9963588983469838,1.8897825304620142e-07,1,95
15,4,8,0.3119842295765208,0.005028482856432143,0.9949716791950632,1.620514953337704e-07,0,16
15,4,10,0.9568341824876265,0.002174211239635873,0.9978259543226458,1.6556228166209053e-07,0,20
15,4,11,0.3586720583184938,0.004182746510172641,0.9958174123558596,1.5886603232928564e-07,1,103
15,4,13,0.5590905316297001,0.0029130267104424683,0.9970871953149419,2.220253845219844e-07,1,107
15,4,14,0.26048350855637586,0.005014357522443198,0.9949858183640613,1.758865046941338e-07,0,28
15,4,16,0.5376642602373526,0.0027555975434306263,0.9972445884864181,1.8602984863669292e-07,1,113
15,4,17,0.32379771785669315,0.004267412717696539,0.9957327698087708,1.8252646727390243e-07,0,34
15,4,19,0.776154241391918,0.001984440123442239,0.9980158188166934,2.589401355557186e-07,2,200
15,4,20,0.28686124160106297,0.004976532771857402,0.9950236397767643,1.7254862161308893e-07,2,202
