k,ball,in_E,n_fibers,mean_osc,mass,frac_osc_gt_0.2
15,2,0,177147,0.06833412847714859,5.564154280486106e+18,0.01710443868651459
15,5,1,177147,0.07328306879033855,2.6315327074624415e+18,0.02268172760475763
15,8,0,177147,0.06752734876428355,3.2727043968357596e+18,0.015958497744810805
15,11,0,177147,0.06474709825715406,3.9952222411307715e+18,0.01323194860765353
15,14,0,177147,0.06833412757698097,1.6399664812565432e+18,0.01710443868651459
15,17,0,177147,0.0747174679212359,8.955610522784651e+18,0.022884948658458793
15,20,1,177147,0.07328306973215339,8.928386126596559e+18,0.02268172760475763
15,23,0,177147,0.06474709776377663,1.1775429344546819e+18,0.01323194860765353
15,26,1,177147,0.08151938634170912,1.0883980761374595e+19,0.03408468672910069
16,2,0,531441,0.06215580264331375,1.7663105617221489e+19,0.012503739831891028
16,5,1,531441,0.06668062051123022,8.325325871861358e+18,0.016344241411558387
16,8,0,531441,0.061560247135896654,1.0336197777828784e+19,0.011862088171593836
16,11,0,531441,0.0591442123506355,1.261721549498992e+19,0.01018175112571292
16,14,0,531441,0.06215580278221707,5.148434040375845e+18,0.012503739831891028
16,17,0,531441,0.06780688241070053,2.863647984558777e+19,0.016566279229491138
16,20,1,531441,0.06668062013700582,2.8562298578008216e+19,0.016344241411558387
16,23,0,531441,0.05914421294735367,3.677660269339908e+18,0.01018175112571292
16,26,1,531441,0.07381712033036818,3.505191110063095e+19,0.023981966013160445
