base	hi	c1	c2	c3	c4	c5	c6	c7	c8	overflow	cap	exc_log2	exc_argn
1	10000000	19943	32465	7595	0	0	0	0	0	9939997	0	121.3219	2052593
10000001	20000000	11512	18277	4408	0	0	0	0	0	9965803	0	121.3219	16814919
20000001	30000000	9577	14840	3708	0	0	0	0	0	9971875	0	121.3219	27967647
30000001	40000000	8474	13717	3316	0	0	0	0	0	9974493	0	121.3219	34923217
40000001	50000000	7811	12236	3014	0	0	0	0	0	9976939	0	121.3219	40089893
50000001	60000000	7223	11046	2784	0	0	0	0	0	9978947	0	121.3219	54567527
60000001	70000000	6780	10890	2674	0	0	0	0	0	9979656	0	121.3219	64210581
70000001	80000000	6584	10374	2531	0	0	0	0	0	9980511	0	121.3219	72294495
80000001	90000000	6190	9565	2322	0	0	0	0	0	9981923	0	121.3219	85350487
90000001	100000000	6083	9536	2457	0	0	0	0	0	9981924	0	121.3219	90760287
100000001	110000000	5635	9194	2283	0	0	0	0	0	9982888	0	121.3219	105202711
110000001	120000000	5703	8177	2161	0	0	0	0	0	9983959	0	121.3219	113450359
120000001	130000000	5624	8768	2308	0	0	0	0	0	9983300	0	121.3219	122344645
130000001	140000000	5062	8439	1929	0	0	0	0	0	9984570	0	121.3219	131503389
140000001	150000000	5285	7748	1922	0	0	0	0	0	9985045	0	121.3219	141812949
150000001	160000000	5131	8503	2032	0	0	0	0	0	9984334	0	121.3219	152930655
160000001	170000000	4926	7802	1931	0	0	0	0	0	9985341	0	121.3219	166526879
170000001	180000000	4756	7395	1750	0	0	0	0	0	9986099	0	121.3219	178219957
180000001	190000000	4881	7223	1826	0	0	0	0	0	9986070	0	121.3219	186877511
190000001	200000000	4688	7515	1859	0	0	0	0	0	9985938	0	121.3219	195955157
200000001	210000000	4405	7526	1835	0	0	0	0	0	9986234	0	121.3219	208158599
210000001	220000000	4499	7083	1737	0	0	0	0	0	9986681	0	121.3219	210405271
220000001	230000000	4699	6774	1607	0	0	0	0	0	9986920	0	121.3219	225920789
230000001	240000000	4289	6271	1685	0	0	0	0	0	9987755	0	121.3219	233596889
240000001	250000000	4364	7248	1643	0	0	0	0	0	9986745	0	121.3219	243632791
250000001	260000000	4481	6370	1943	0	0	0	0	0	9987206	0	121.3219	250561833
260000001	270000000	3533	7750	1690	0	0	0	0	0	9987027	0	121.3219	260198249
270000001	280000000	4431	5615	1373	0	0	0	0	0	9988581	0	121.3219	274305329
280000001	290000000	4043	6718	1483	0	0	0	0	0	9987756	0	121.3219	289178503
290000001	300000000	4209	5429	1579	0	0	0	0	0	9988783	0	121.3219	296119039
300000001	310000000	4458	6071	1486	0	0	0	0	0	9987985	0	121.3219	305861613
310000001	320000000	3669	7138	1677	0	0	0	0	0	9987516	0	121.3219	313528437
320000001	330000000	3611	6429	1791	0	0	0	0	0	9988169	0	121.3219	328758473
330000001	340000000	4245	5831	1226	0	0	0	0	0	9988698	0	121.3219	336648601
340000001	350000000	3588	5745	1457	0	0	0	0	0	9989210	0	121.3219	346222855
350000001	360000000	3815	6092	1374	0	0	0	0	0	9988719	0	121.3219	356440647
360000001	370000000	3964	4935	1197	0	0	0	0	0	9989904	0	121.3219	364995057
370000001	380000000	3631	6394	1679	0	0	0	0	0	9988296	0	121.3219	371753757
380000001	390000000	3811	5812	1388	0	0	0	0	0	9988989	0	121.3219	389812231
390000001	400000000	3684	5793	1510	0	0	0	0	0	9989013	0	121.3219	397444381
400000001	410000000	3693	5865	1543	0	0	0	0	0	9988899	0	121.3219	401316133
410000001	420000000	3354	5885	1393	0	0	0	0	0	9989368	0	121.3219	412730037
420000001	430000000	3488	5757	1372	0	0	0	0	0	9989383	0	121.3219	426752861
430000001	440000000	3479	5486	1374	0	0	0	0	0	9989661	0	121.3219	432778569
440000001	450000000	3490	5322	1320	0	0	0	0	0	9989868	0	121.3219	445550809
450000001	460000000	3786	5355	1296	0	0	0	0	0	9989563	0	121.3219	456243543
460000001	470000000	3342	4275	1203	0	0	0	0	0	9991180	0	121.3219	462686293
470000001	480000000	3398	5398	1448	0	0	0	0	0	9989756	0	121.3219	473790727
480000001	490000000	3628	5556	985	0	0	0	0	0	9989831	0	121.3219	485161885
490000001	500000000	3233	5672	1551	0	0	0	0	0	9989544	0	121.3219	492011481
500000001	510000000	3459	5632	1696	0	0	0	0	0	9989213	0	121.3219	503820537
510000001	520000000	3613	4409	1301	0	0	0	0	0	9990677	0	121.3219	515912281
520000001	530000000	3224	6247	1315	0	0	0	0	0	9989214	0	121.3219	523197431
530000001	540000000	2416	5807	1402	0	0	0	0	0	9990375	0	121.3219	530584615
540000001	550000000	3447	4722	990	0	0	0	0	0	9990841	0	121.3219	543885141
550000001	560000000	3410	4276	1217	0	0	0	0	0	9991097	0	121.3219	556938165
560000001	570000000	3648	5211	1006	0	0	0	0	0	9990135	0	121.3219	564801973
570000001	580000000	2693	5501	1401	0	0	0	0	0	9990405	0	121.3219	578358037
580000001	590000000	3468	4120	991	0	0	0	0	0	9991421	0	121.3219	589067925
590000001	600000000	3172	4432	1445	0	0	0	0	0	9990951	0	121.3219	592238409
600000001	610000000	3036	5437	970	0	0	0	0	0	9990557	0	121.3219	606451063
610000001	620000000	3863	4053	1317	0	0	0	0	0	9990767	0	121.3219	611722807
620000001	630000000	2761	5427	1554	0	0	0	0	0	9990258	0	121.3219	623699941
630000001	640000000	2972	5593	1086	0	0	0	0	0	9990349	0	121.3219	635910687
640000001	650000000	3638	3963	1455	0	0	0	0	0	9990944	0	121.3219	641438257
650000001	660000000	2154	6045	1411	0	0	0	0	0	9990390	0	121.3219	650495623
660000001	670000000	3220	5460	1061	0	0	0	0	0	9990259	0	121.3219	663230769
670000001	680000000	3400	3892	958	0	0	0	0	0	9991750	0	121.3219	673297285
680000001	690000000	2349	4772	991	0	0	0	0	0	9991888	0	121.3219	685764969
690000001	700000000	3281	4372	1363	0	0	0	0	0	9990984	0	121.3219	699190905
700000001	710000000	2586	5203	1083	0	0	0	0	0	9991128	0	121.3219	702223735
710000001	720000000	3318	4523	1109	0	0	0	0	0	9991050	0	121.3219	712880669
720000001	730000000	3440	3763	820	0	0	0	0	0	9991977	0	121.3219	729990279
730000001	740000000	2776	4093	1077	0	0	0	0	0	9992054	0	121.3219	733154839
